file,label,topic
,Informática y Telecomunicaciones,4
,Ingeniería Civil y Arquitectura,1
,Informática y Telecomunicaciones,-1
,Ingeniería Civil y Arquitectura,13
,Ingeniería Civil y Arquitectura,10
,Educación,1
,Informática y Telecomunicaciones,1
,Informática y Telecomunicaciones,5
,Informática y Telecomunicaciones,6
,Informática y Telecomunicaciones,6
,Informática y Telecomunicaciones,-1
,Ingeniería Civil y Arquitectura,-1
,Informática y Telecomunicaciones,0
,Informática y Telecomunicaciones,0
,Informática y Telecomunicaciones,2
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,20
,Ingeniería Civil y Arquitectura,14
,Informática y Telecomunicaciones,-1
,Ingeniería Civil y Arquitectura,11
,Ingeniería Civil y Arquitectura,-1
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,15
,Otros,1
,Ingeniería Civil y Arquitectura,7
,Informática y Telecomunicaciones,3
,Ingeniería Civil y Arquitectura,3
,Informática y Telecomunicaciones,14
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,-1
,Informática y Telecomunicaciones,0
,Otros,10
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,15
,Otros,8
,Otros,1
,Informática y Telecomunicaciones,5
,Ingeniería Civil y Arquitectura,19
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,7
,Otros,3
,Ingeniería Civil y Arquitectura,6
,Educación,2
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,0
,Educación,2
,Ingeniería Civil y Arquitectura,11
,Informática y Telecomunicaciones,-1
,Ingeniería Civil y Arquitectura,21
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,0
,Informática y Telecomunicaciones,15
,Informática y Telecomunicaciones,16
,Informática y Telecomunicaciones,0
,Otros,2
,Informática y Telecomunicaciones,-1
,Otros,1
,Otros,-1
,Informática y Telecomunicaciones,7
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,1
,Ingeniería Civil y Arquitectura,-1
,Ingeniería Civil y Arquitectura,10
,Informática y Telecomunicaciones,-1
,Informática y Telecomunicaciones,-1
,Ingeniería Civil y Arquitectura,-1
,Informática y Telecomunicaciones,6
,Informática y Telecomunicaciones,0
,Ingeniería Civil y Arquitectura,1
,Ingeniería Civil y Arquitectura,-1
,Informática y Telecomunicaciones,-1
,Educación,2
,Informática y Telecomunicaciones,0
,Informática y Telecomunicaciones,13
,Informática y Telecomunicaciones,0
