Stacking,Meta,Accuracy,Macro_F1,Weighted_F1,Recall
RF+SVM,MLP,0.928,0.719,0.918,0.683
SVM+RF+KNN,LogisticRegression,0.893,0.718,0.899,0.75
SVM+RF,MLP,0.916,0.708,0.909,0.677
SVM+RF,LogisticRegression,0.888,0.696,0.893,0.725
RF+SVM,LogisticRegression,0.888,0.696,0.893,0.725
SVM+RF+KNN+MLP,LogisticRegression,0.885,0.696,0.892,0.735
SVM+RF+KNN,MLP,0.914,0.693,0.906,0.67
SVM+RF+MLP,LogisticRegression,0.89,0.693,0.896,0.722
SVM+RF+LR,LogisticRegression,0.885,0.688,0.894,0.721
SVM+RF+LR,MLP,0.919,0.679,0.908,0.651
SVM+RF+KNN+MLP,MLP,0.905,0.676,0.898,0.659
LR,-,0.867,0.673,0.868,0.667
MLP+RF,LogisticRegression,0.885,0.672,0.892,0.694
MLP+RF,MLP,0.908,0.664,0.896,0.649
KNN+RF+NaiveBayes,MLP,0.896,0.659,0.889,0.621
MLP+RF,RandomForest,0.896,0.655,0.884,0.625
SVM+KNN+NaiveBayes,LogisticRegression,0.847,0.646,0.857,0.674
MLP+KNN,LogisticRegression,0.856,0.645,0.85,0.635
KNN+RF+NaiveBayes,LogisticRegression,0.859,0.641,0.873,0.673
SVM,-,0.87,0.639,0.864,0.633
SVM+KNN,LogisticRegression,0.841,0.637,0.851,0.666
SVM+MLP,LogisticRegression,0.844,0.635,0.85,0.66
SVM+RF+MLP,MLP,0.905,0.63,0.895,0.618
SVM+KNN,MLP,0.867,0.627,0.86,0.61
MLP+KNN,MLP,0.865,0.624,0.853,0.597
SVM+RF+KNN+MLP,RandomForest,0.893,0.622,0.878,0.604
MLP,-,0.862,0.621,0.846,0.591
SVM+MLP,MLP,0.859,0.621,0.85,0.602
SVM+RF+MLP,RandomForest,0.89,0.615,0.875,0.597
KNN+MLP+NaiveBayes,LogisticRegression,0.844,0.615,0.842,0.623
KNN+RF+NaiveBayes,RandomForest,0.89,0.614,0.875,0.6
SVM+RF,RandomForest,0.89,0.612,0.876,0.597
RF+SVM,RandomForest,0.888,0.611,0.873,0.593
SVM+RF+KNN,RandomForest,0.882,0.606,0.868,0.591
SVM+KNN+NaiveBayes,MLP,0.85,0.605,0.84,0.585
RF,-,0.902,0.588,0.882,0.589
SVM+MLP,RandomForest,0.859,0.584,0.846,0.57
MLP+KNN,RandomForest,0.853,0.578,0.838,0.564
SVM+RF+LR,RandomForest,0.885,0.575,0.868,0.573
KNN,-,0.827,0.564,0.812,0.535
SVM+KNN,RandomForest,0.847,0.562,0.83,0.55
KNN+MLP+NaiveBayes,MLP,0.85,0.561,0.838,0.541
KNN+MLP+NaiveBayes,RandomForest,0.856,0.546,0.836,0.545
SVM+KNN+NaiveBayes,RandomForest,0.85,0.536,0.831,0.534
NaiveBayes,-,0.793,0.375,0.749,0.338
